Tanggal;Konten;Like;Komentar;Perusahaan
29/06/2023;Peringatan Hari Raya;76;0;ICE
28/06/2023;Notifikasi Acara;403;2;ICE
28/06/2023;Repost;61;0;ICE
27/06/2023;Pameran;80;2;ICE
25/06/2023;Olahraga;72;0;ICE
24/06/2023;Konser;1568;11;ICE
23/06/2023;Wisuda;117;0;ICE
22/06/2023;Konser;89;1;ICE
22/06/2023;Konser;388;4;ICE
22/06/2023;Olahraga;58;0;ICE
21/06/2023;Pameran;177;2;ICE
20/06/2023;Gedung;96;0;ICE
20/06/2023;Pameran;147;11;ICE
19/06/2023;Nikahan;109;0;ICE
18/06/2023;Konser;395;11;ICE
17/06/2023;Konser;99;2;ICE
16/06/2023;Promosi;519;0;ICE
16/06/2023;Pameran;211;3;ICE
14/06/2023;Perayaan;72;0;ICE
13/06/2023;Promosi;273;2;ICE
13/06/2023;Pameran;240;13;ICE
13/06/2023;Promosi;62;1;ICE
12/06/2023;Pamaran;36;1;ICE
11/06/2023;Olahraga;249;2;ICE
10/06/2023;Olahraga;156;3;ICE
10/06/2023;Promosi;72;4;ICE
09/06/2023;Promosi;56;1;ICE
08/06/2023;Peringatan Hari Raya;112;6;ICE
07/06/2023;Pameran;57;2;ICE
06/06/2023;Promosi;67;0;ICE
05/06/2023;Wisuda;164;0;ICE
04/06/2023;Konser;154;1;ICE
04/06/2023;Konser;307;0;ICE
04/06/2023;Peringatan Hari Raya;75;0;ICE
03/06/2023;Promosi;156;0;ICE
02/06/2023;Promosi;263;0;ICE
01/06/2023;Peringatan Hari Raya;133;0;ICE
31/05/2023;Konser;554;77;ICE
30/05/2023;Konser;385;10;ICE
29/05/2023;Repost;801;2;ICE
28/05/2023;Pameran;652;8;ICE
27/05/2023;Pameran;878;4;ICE
26/05/2023;Promosi;1564;11;ICE
26/05/2023;Konser;954;7;ICE
25/05/2023;Konser;256;4;ICE
24/05/2023;Ulang Tahun;192;0;ICE
23/05/2023;Promosi;211;0;ICE
23/05/2023;Konser;560;31;ICE
22/05/2023;Konser;106;0;ICE
21/05/2023;Promosi;92;0;ICE
20/05/2023;Konser;1686;12;ICE
19/05/2023;Konser;789;36;ICE
18/05/2023;Peringatan Hari Raya;76;0;ICE
17/05/2023;Pameran;235;9;ICE
16/05/2023;Pameran;258;1;ICE
15/05/2023;Promosi;174;2;ICE
14/05/2023;Konser;1152;3;ICE
13/05/2023;Konser;1098;25;ICE
12/05/2023;Promosi;121;0;ICE
11/05/2023;Repost;685;32;ICE
10/05/2023;Promosi;233;0;ICE
10/05/2023;Konser;1720;30;ICE
09/05/2023;Repost;450;3;ICE
08/05/2023;Promosi;93;0;ICE
07/05/2023;Festifal;521;4;ICE
06/05/2023;Festifal;2351;23;ICE
05/05/2023;Repost;1044;12;ICE
05/05/2023;Repost;771;29;ICE
05/05/2023;Promosi;219;3;ICE
03/05/2023;Konser;381;3;ICE
02/05/2023;Peringatan Hari Raya;35;0;ICE
01/05/2023;Peringatan Hari Raya;71;0;ICE
30/04/2023;Olahraga;96;0;ICE
29/04/2023;Konser;1400;7;ICE
28/04/2023;Promosi;62;0;ICE
27/04/2023;Promosi;125;1;ICE
26/04/2023;Promosi;78;0;ICE
25/04/2023;Pameran;55;0;ICE
24/04/2023;Promosi;169;2;ICE
23/04/2023;Peringatan Hari Raya;540;2;ICE
22/04/2023;Peringatan Hari Raya;15;0;ICE
21/04/2023;Peringatan Hari Raya;55;0;ICE
20/04/2023;Pertanyaan ;43;0;ICE
19/04/2023;Festifal;73;0;ICE
18/04/2023;Repost;48;0;ICE
17/04/2023;Promosi;35;0;ICE
16/04/2023;Pertanyaan ;488;52;ICE
15/04/2023;Repost;896;22;ICE
14/04/2023;Konser;117;1;ICE
13/04/2023;Promosi;99;0;ICE
12/04/2023;Festifal;81;1;ICE
11/04/2023;Promosi;59;0;ICE
10/04/2023;Promosi;55;0;ICE
09/04/2023;Peringatan Hari Raya;62;0;ICE
08/04/2023;Pameran;56;0;ICE
07/04/2023;Peringatan Hari Raya;2346;7;ICE
06/04/2023;Repost;113;0;ICE
05/04/2023;Promosi;89;0;ICE
04/04/2023;Promosi;202;0;ICE
04/04/2023;Promosi;57;0;ICE
02/04/2023;Festifal;120;1;ICE
01/04/2023;Festifal;151;0;ICE
31/03/2023;Promosi;114;0;ICE
30/03/2023;Repost;1843;28;ICE
30/03/2023;Promosi;80;0;ICE
29/03/2023;Promosi;133;1;ICE
29/03/2023;Konser;959;151;ICE
28/03/2023;Festifal;86;0;ICE
27/03/2023;Promosi;63;0;ICE
26/03/2023;Festifal;274;22;ICE
24/03/2023;Festifal;90;0;ICE
23/03/2023;Promosi;76;0;ICE
23/03/2023;Konser;865;28;ICE
22/03/2023;Peringatan Hari Raya;81;0;ICE
22/03/2023;Peringatan Hari Raya;101;0;ICE
21/03/2023;Promosi;232;0;ICE
20/03/2023;Wisuda;105;0;ICE
19/03/2023;Konser;2105;5;ICE
19/03/2023;Pameran;264;0;ICE
19/03/2023;Pameran;152;0;ICE
18/03/2023;Konser;2863;14;ICE
18/03/2023;Pameran;278;1;ICE
17/03/2023;Pameran;122;5;ICE
17/03/2023;Pameran;155;0;ICE
16/03/2023;Pameran;691;13;ICE
15/03/2023;Pameran;270;0;ICE
14/03/2023;Promosi;864;23;ICE
13/03/2023;Wisuda;97;0;ICE
12/03/2023;Pameran;440;1;ICE
11/03/2023;Promosi;1328;10;ICE
10/03/2023;Pameran;296;12;ICE
09/02/2023;Seminar;80;0;ICE
08/03/2023;Seminar;110;2;ICE
08/03/2023;Repost;195;2;ICE
06/03/2023;Festifal;512;30;ICE
05/03/2023;Konser;5534;24;ICE
05/03/2023;Pameran;264;1;ICE
04/03/2023;Konser;6715;48;ICE
04/03/2023;Pameran;470;1;ICE
02/03/2023;Pameran;1143;8;ICE
01/03/2023;Pameran;306;7;ICE
